initial states
start-%-whites,start-%-blacks,albedo-of-whites,albedo-of-blacks,solar-luminosity,albedo-of-surface,scenario,,end_year
20.0,20.0,0.75,0.25,1.0,0.4,our,,40


Current year,White Daisy numbers,Black Daisy numbers,Global Temprature,Luminosity
0,180,180,21.610277544424466,1.0
1,241,197,26.202270749229037,1.0
2,341,230,25.62542085576129,1.0
3,430,267,22.307933261944275,1.0
4,480,298,19.17262401082588,1.0
5,494,333,17.115024573431484,1.0
6,480,367,16.560934274870423,1.0
7,478,384,16.705284839405618,1.0
8,469,401,17.214351401308345,1.0
9,454,414,18.04774174037526,1.0
10,450,431,18.85017527896143,1.0
11,437,439,19.62368790975324,1.0
12,426,452,20.613011606033282,1.0
13,426,454,21.054576286179504,1.0
14,417,469,21.589238276403215,1.0
15,395,481,22.429192730044488,1.0
16,398,483,23.305065657555936,1.0
17,400,484,23.647095256961773,1.0
18,387,493,23.923304711984624,1.0
19,388,485,24.243776778565223,1.0
20,385,482,24.222420827880747,1.0
21,386,494,24.5220711666359,1.0
22,374,497,24.926075305314185,1.0
23,370,508,25.56554866432358,1.0
24,358,510,25.9321610782532,1.0
25,364,502,26.2078769679011,1.0
26,370,492,26.042781055618114,1.0
27,369,504,25.833106131592775,1.0
28,365,507,25.935830733887478,1.0
29,378,497,25.87823246141907,1.0
30,388,492,25.509833383203283,1.0
31,392,488,24.821421776516413,1.0
32,408,476,24.305998656952475,1.0
33,416,471,23.431482598616974,1.0
34,408,477,23.042130078912923,1.0
35,407,479,23.070967732188723,1.0
36,405,479,23.22496285535698,1.0
37,405,475,23.327512418278335,1.0
38,404,470,23.2784876821876,1.0
39,403,475,23.382166392430353,1.0
40,398,487,23.69384486437865,1.0
